Index       TIME             V(BASE)           V(COLL)           V(OUT)            I(VDD)      
261      7.55217036e-10    5.43292415e+00    1.00227509e+01    2.04403803e-02   -2.03953638e-01
262      7.58550369e-10    5.42469862e+00    1.00159505e+01    1.25406068e-02   -2.03310260e-01
263      7.61883703e-10    5.43458869e+00    1.00048766e+01    1.01484293e-03   -2.02961164e-01
264      7.65217036e-10    5.45751003e+00    9.99303396e+00   -1.05112289e-02   -2.02991404e-01
265      7.68550369e-10    5.48343059e+00    9.98446399e+00   -1.81266087e-02   -2.03361254e-01
266      7.71883703e-10    5.50117850e+00    9.98285842e+00   -1.85109246e-02   -2.03902331e-01
267      7.75217036e-10    5.50266483e+00    9.98962894e+00   -1.07645532e-02   -2.04360578e-01
268      7.78550369e-10    5.48597272e+00    1.00022497e+01    2.14359110e-03   -2.04499272e-01
269      7.81883703e-10    5.45613702e+00    1.00150897e+01    1.44310443e-02   -2.04216249e-01
270      7.85217036e-10    5.42324783e+00    1.00227343e+01    2.08980147e-02   -2.03592428e-01
271      7.88550369e-10    5.39856713e+00    1.00227780e+01    1.95920959e-02   -2.02838826e-01
272      7.91883703e-10    5.39018657e+00    1.00159781e+01    1.17475618e-02   -2.02194566e-01
273      7.95217036e-10    5.39993884e+00    1.00049240e+01    2.92098290e-04   -2.01844247e-01
274      7.98550369e-10    5.42273741e+00    9.99311430e+00   -1.11554855e-02   -2.01872382e-01
275      8.01883703e-10    5.44854631e+00    9.98457475e+00   -1.86998602e-02   -2.02239070e-01
276      8.05217036e-10    5.46618986e+00    9.98297469e+00   -1.90418581e-02   -2.02776384e-01
277      8.08550369e-10    5.46757744e+00    9.98971237e+00   -1.12930199e-02   -2.03231322e-01
278      8.11883703e-10    5.45079304e+00    1.00022713e+01    1.58932392e-03   -2.03368285e-01
279      8.15217036e-10    5.42087375e+00    1.00150486e+01    1.38519880e-02   -2.03085604e-01
280      8.18550369e-10    5.38791191e+00    1.00226562e+01    2.03204531e-02   -2.02463783e-01
281      8.21883703e-10    5.36317083e+00    1.00226981e+01    1.90500443e-02   -2.01712826e-01
282      8.25217036e-10    5.35474229e+00    1.00159274e+01    1.12686918e-02   -2.01070753e-01
283      8.28550369e-10    5.36445732e+00    1.00049237e+01   -1.07021287e-04   -2.00721291e-01
284      8.31883703e-10    5.38722592e+00    9.99317149e+00   -1.14732540e-02   -2.00748484e-01
285      8.35217036e-10    5.41300780e+00    9.98467456e+00   -1.89558809e-02   -2.01112560e-01
