Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)           V(OUT_50)          I(V_DD)     
163      5.38698036e-10    2.11870376e-02    8.62218523e-01    1.15913884e+00    1.75645834e+00   -1.32348707e-02   -3.71770829e-03
164      5.42031370e-10    2.49409500e-02    8.63635714e-01    1.13190300e+00    1.73871115e+00   -2.95557127e-02   -3.80644426e-03
165      5.45364703e-10    1.91682672e-02    8.57989829e-01    1.12604475e+00    1.73231095e+00   -3.38426293e-02   -3.83844524e-03
166      5.48698036e-10    6.07395788e-03    8.47397324e-01    1.14297836e+00    1.73964562e+00   -2.45611695e-02   -3.80177190e-03
167      5.52031370e-10   -9.34039695e-03    8.35845098e-01    1.17515487e+00    1.75700035e+00   -6.18167842e-03   -3.71499826e-03
168      5.55364703e-10   -2.11870376e-02    8.27738353e-01    1.21020326e+00    1.77712395e+00    1.36915945e-02   -3.61438024e-03
169      5.58698036e-10   -2.49409500e-02    8.26234029e-01    1.23592687e+00    1.79284655e+00    2.80236845e-02   -3.53576724e-03
170      5.62031370e-10   -1.91682672e-02    8.31959302e-01    1.24346369e+00    1.79920271e+00    3.23668283e-02   -3.50398644e-03
171      5.65364703e-10   -6.07395788e-03    8.42689569e-01    1.22909364e+00    1.79385114e+00    2.50997017e-02   -3.53074432e-03
172      5.68698036e-10    9.34039695e-03    8.54248087e-01    1.19680838e+00    1.77777291e+00    7.92079006e-03   -3.61113546e-03
173      5.72031370e-10    2.11870376e-02    8.62221978e-01    1.15913432e+00    1.75643608e+00   -1.32387716e-02   -3.71781960e-03
174      5.75364703e-10    2.49409500e-02    8.63639161e-01    1.13189870e+00    1.73868856e+00   -2.95596775e-02   -3.80655720e-03
175      5.78698036e-10    1.91682672e-02    8.57993271e-01    1.12604076e+00    1.73228826e+00   -3.38464353e-02   -3.83855868e-03
176      5.82031370e-10    6.07395788e-03    8.47400763e-01    1.14297472e+00    1.73962304e+00   -2.45646243e-02   -3.80188480e-03
177      5.85364703e-10   -9.34039695e-03    8.35848533e-01    1.17515160e+00    1.75697802e+00   -6.18466588e-03   -3.71510989e-03
178      5.88698036e-10   -2.11870376e-02    8.27741779e-01    1.21020027e+00    1.77710192e+00    1.36890837e-02   -3.61449040e-03
179      5.92031370e-10   -2.49409500e-02    8.26237435e-01    1.23592392e+00    1.79282467e+00    2.80214832e-02   -3.53587665e-03
180      5.95364703e-10   -1.91682672e-02    8.31962674e-01    1.24346049e+00    1.79918071e+00    3.23646503e-02   -3.50409645e-03
181      5.98698036e-10   -6.07395788e-03    8.42692901e-01    1.22909003e+00    1.79382871e+00    2.50972516e-02   -3.53085646e-03
182      6.02031370e-10    9.34039695e-03    8.54251387e-01    1.19680450e+00    1.77774991e+00    7.91794779e-03   -3.61125045e-03
183      6.05364703e-10    2.11870376e-02    8.62225259e-01    1.15913044e+00    1.75641259e+00   -1.32419111e-02   -3.71793707e-03
184      6.08698036e-10    2.49409500e-02    8.63642434e-01    1.13189502e+00    1.73866479e+00   -2.95628840e-02   -3.80667607e-03
185      6.12031370e-10    1.91682672e-02    8.57996540e-01    1.12603737e+00    1.73226443e+00   -3.38494957e-02   -3.83867786e-03
186      6.15364703e-10    6.07395788e-03    8.47404029e-01    1.14297167e+00    1.73959934e+00   -2.45673564e-02   -3.80200330e-03
187      6.18698036e-10   -9.34039695e-03    8.35851794e-01    1.17514888e+00    1.75695459e+00   -6.18695909e-03   -3.71522704e-03
188      6.22031370e-10   -2.11870376e-02    8.27745030e-01    1.21019780e+00    1.77707880e+00    1.36872366e-02   -3.61460601e-03
189      6.25364703e-10   -2.49409500e-02    8.26240666e-01    1.23592149e+00    1.79280172e+00    2.80199232e-02   -3.53599138e-03
190      6.28698036e-10   -1.91682672e-02    8.31965874e-01    1.24345782e+00    1.79915767e+00    3.23631046e-02   -3.50421164e-03
191      6.32031370e-10   -6.07395788e-03    8.42696063e-01    1.22908697e+00    1.79380529e+00    2.50954400e-02   -3.53097354e-03
192      6.35364703e-10    9.34039695e-03    8.54254517e-01    1.19680117e+00    1.77772598e+00    7.91575638e-03   -3.61137009e-03
193      6.38698036e-10    2.11870376e-02    8.62228373e-01    1.15912712e+00    1.75638821e+00   -1.32443908e-02   -3.71805893e-03
194      6.42031370e-10    2.49409500e-02    8.63645540e-01    1.13189189e+00    1.73864018e+00   -2.95654329e-02   -3.80679911e-03
195      6.45364703e-10    1.91682672e-02    8.57999641e-01    1.12603452e+00    1.73223979e+00   -3.38519102e-02   -3.83880106e-03
196      6.48698036e-10    6.07395788e-03    8.47407126e-01    1.14296912e+00    1.73957486e+00   -2.45694638e-02   -3.80212572e-03
197      6.52031370e-10   -9.34039695e-03    8.35854887e-01    1.17514664e+00    1.75693039e+00   -6.18865462e-03   -3.71534803e-03
198      6.55364703e-10   -2.11870376e-02    8.27748114e-01    1.21019579e+00    1.77705492e+00    1.36859586e-02   -3.61472541e-03
199      6.58698036e-10   -2.49409500e-02    8.26243731e-01    1.23591951e+00    1.79277803e+00    2.80189116e-02   -3.53610983e-03
200      6.62031370e-10   -1.91682672e-02    8.31968908e-01    1.24345560e+00    1.79913392e+00    3.23620996e-02   -3.50433039e-03
201      6.65364703e-10   -6.07395788e-03    8.42699060e-01    1.22908438e+00    1.79378121e+00    2.50941762e-02   -3.53109396e-03
202      6.68698036e-10    9.34039695e-03    8.54257485e-01    1.19679834e+00    1.77770143e+00    7.91412557e-03   -3.61149283e-03
203      6.72031370e-10    2.11870376e-02    8.62231324e-01    1.15912428e+00    1.75636327e+00   -1.32463005e-02   -3.71818366e-03
